Id,ActivityHour,Calories,StepTotal,TotalIntensity,AverageIntensity
1503960366,4/12/2016 0:00,81,373,20,0.333333
1503960366,4/12/2016 1:00,61,160,8,0.133333
1503960366,4/12/2016 2:00,59,151,7,0.116667
1503960366,4/12/2016 3:00,47,0,0,0
1503960366,4/12/2016 4:00,48,0,0,0
1503960366,4/12/2016 5:00,48,0,0,0
1503960366,4/12/2016 6:00,48,0,0,0
1503960366,4/12/2016 7:00,47,0,0,0
1503960366,4/12/2016 8:00,68,250,13,0.216667
1503960366,4/12/2016 9:00,141,1864,30,0.5
1503960366,4/12/2016 10:00,99,676,29,0.483333
1503960366,4/12/2016 11:00,76,360,12,0.2
1503960366,4/12/2016 12:00,73,253,11,0.183333
1503960366,4/12/2016 13:00,66,221,6,0.1
1503960366,4/12/2016 14:00,110,1166,36,0.6
1503960366,4/12/2016 15:00,151,2063,58,0.966667
1503960366,4/12/2016 16:00,76,344,13,0.216667
1503960366,4/12/2016 17:00,83,489,16,0.266667
1503960366,4/12/2016 18:00,124,1386,29,0.483333
1503960366,4/12/2016 19:00,104,558,39,0.65
1503960366,4/12/2016 20:00,132,1733,41,0.683333
1503960366,4/12/2016 21:00,100,684,31,0.516667
1503960366,4/12/2016 22:00,65,89,9,0.15
1503960366,4/12/2016 23:00,81,338,21,0.35
1503960366,4/13/2016 0:00,69,144,14,0.233333
1503960366,4/13/2016 1:00,48,0,0,0
1503960366,4/13/2016 2:00,47,0,0,0
1503960366,4/13/2016 3:00,53,36,4,0.066667
1503960366,4/13/2016 4:00,47,0,0,0
1503960366,4/13/2016 5:00,47,0,0,0
1503960366,4/13/2016 6:00,48,0,0,0
1503960366,4/13/2016 7:00,59,126,8,0.133333
1503960366,4/13/2016 8:00,69,275,12,0.2
1503960366,4/13/2016 9:00,136,1679,27,0.45
1503960366,4/13/2016 10:00,77,295,15,0.25
1503960366,4/13/2016 11:00,84,524,16,0.266667
1503960366,4/13/2016 12:00,82,486,15,0.25
1503960366,4/13/2016 13:00,72,302,10,0.166667
1503960366,4/13/2016 14:00,128,1577,46,0.766667
1503960366,4/13/2016 15:00,79,493,13,0.216667
1503960366,4/13/2016 16:00,71,299,10,0.166667
1503960366,4/13/2016 17:00,87,695,23,0.383333
1503960366,4/13/2016 18:00,118,1343,25,0.416667
1503960366,4/13/2016 19:00,73,258,13,0.216667
1503960366,4/13/2016 20:00,47,0,0,0
1503960366,4/13/2016 21:00,48,0,0,0
1503960366,4/13/2016 22:00,74,437,11,0.183333
1503960366,4/13/2016 23:00,135,1766,56,0.933333
1503960366,4/14/2016 0:00,56,81,4,0.066667
1503960366,4/14/2016 1:00,54,58,3,0.05
1503960366,4/14/2016 2:00,47,0,0,0
1503960366,4/14/2016 3:00,47,0,0,0
1503960366,4/14/2016 4:00,47,0,0,0
1503960366,4/14/2016 5:00,47,0,0,0
1503960366,4/14/2016 6:00,47,0,0,0
1503960366,4/14/2016 7:00,47,0,0,0
1503960366,4/14/2016 8:00,47,0,0,0
1503960366,4/14/2016 9:00,93,902,14,0.233333
1503960366,4/14/2016 10:00,109,1106,23,0.383333
1503960366,4/14/2016 11:00,64,50,7,0.116667
1503960366,4/14/2016 12:00,85,501,18,0.3
1503960366,4/14/2016 13:00,137,1779,54,0.9
1503960366,4/14/2016 14:00,113,1228,22,0.366667
1503960366,4/14/2016 15:00,66,139,7,0.116667
1503960366,4/14/2016 16:00,88,408,25,0.416667
1503960366,4/14/2016 17:00,61,37,5,0.083333
1503960366,4/14/2016 18:00,72,322,12,0.2
1503960366,4/14/2016 19:00,55,11,1,0.016667
1503960366,4/14/2016 20:00,91,806,24,0.4
1503960366,4/14/2016 21:00,174,2670,57,0.95
1503960366,4/14/2016 22:00,79,362,17,0.283333
1503960366,4/14/2016 23:00,50,0,0,0
1503960366,4/15/2016 0:00,60,83,6,0.1
1503960366,4/15/2016 1:00,58,75,5,0.083333
1503960366,4/15/2016 2:00,59,124,7,0.116667
1503960366,4/15/2016 3:00,47,0,0,0
1503960366,4/15/2016 4:00,47,0,0,0
1503960366,4/15/2016 5:00,49,26,1,0.016667
1503960366,4/15/2016 6:00,47,0,0,0
1503960366,4/15/2016 7:00,49,7,1,0.016667
1503960366,4/15/2016 8:00,54,55,5,0.083333
1503960366,4/15/2016 9:00,50,21,2,0.033333
1503960366,4/15/2016 10:00,63,154,8,0.133333
1503960366,4/15/2016 11:00,84,425,23,0.383333
1503960366,4/15/2016 12:00,74,270,13,0.216667
1503960366,4/15/2016 13:00,67,373,9,0.15
1503960366,4/15/2016 14:00,47,0,0,0
1503960366,4/15/2016 15:00,47,0,0,0
1503960366,4/15/2016 16:00,47,0,0,0
1503960366,4/15/2016 17:00,140,1774,47,0.783333
1503960366,4/15/2016 18:00,87,509,22,0.366667
1503960366,4/15/2016 19:00,97,519,32,0.533333
1503960366,4/15/2016 20:00,64,77,8,0.133333
1503960366,4/15/2016 21:00,75,280,14,0.233333
1503960366,4/15/2016 22:00,151,2145,66,1.1
